Županije;County of;Towns/municipalities";Total: 2011;Men;Women;0-14;15+;Children 0-14;Employed;Unemployed;Inactive;Unknown;Children 0-14;Basic school and less;Secondary education;Higher education;Unknown;Total:2021;Men:2021;Women:2021;0-14:2021;15+:2021
Zagrebačka;Zagreb;Bedenica;1.432;700;732;248;1.184;248;511;60;613;-;248;575;559;50;-;1.266;604;662;201;1.065
Zagrebačka;Zagreb;Bistra;6.632;3.237;3.395;1.119;5.513;1.119;2.564;386;2.563;-;1.119;1.781;3.226;504;2;6.444;3.129;3.315;904;5.540
Zagrebačka;Zagreb;Brckovljani;6.837;3.462;3.375;1.284;5.553;1.284;2.230;539;2.783;1;1.284;2.402;2.835;309;7;5.876;2.985;2.891;922;4.954
Zagrebačka;Zagreb;Brdovec;11.134;5.417;5.717;1.775;9.359;1.775;4.471;625;4.263;-;1.775;2.515;5.818;1.025;1;10.737;5.241;5.496;1.592;9.145
Zagrebačka;Zagreb;Dubrava;5.245;2.576;2.669;766;4.479;766;1.650;191;2.638;-;766;2.249;1.963;253;14;4.520;2.220;2.300;548;3.972
Zagrebačka;Zagreb;Dubravica;1.437;707;730;193;1.244;193;512;95;637;-;193;496;659;89;-;1.192;604;588;144;1.048
Zagrebačka;Zagreb;Dugo Selo;17.466;8.519;8.947;3.466;14.000;3.466;6.768;1.240;5.987;5;3.466;3.989;8.251;1.727;33;17.676;8.462;9.214;3.025;14.651
Zagrebačka;Zagreb;Farkaševac;1.937;958;979;333;1.604;333;565;95;943;1;333;966;548;41;49;1.562;753;809;208;1.354
Zagrebačka;Zagreb;Gradec;3.681;1.792;1.889;615;3.066;615;1.287;190;1.589;-;615;1.510;1.395;161;-;3.189;1.537;1.652;452;2.737
Zagrebačka;Zagreb;Ivanić-Grad;14.548;6.991;7.557;2.199;12.349;2.199;5.258;967;6.123;1;2.199;4.105;6.794;1.446;4;12.982;6.270;6.712;1.967;11.015
Zagrebačka;Zagreb;Jakovlje;3.930;1.925;2.005;575;3.355;575;1.447;268;1.640;-;575;1.337;1.788;217;13;3.797;1.826;1.971;597;3.200
Zagrebačka;Zagreb;Jastrebarsko;15.866;7.587;8.279;2.342;13.524;2.342;6.190;861;6.436;37;2.342;4.523;7.348;1.545;108;14.562;6.958;7.604;2.012;12.550
Zagrebačka;Zagreb;Klinča Sela;5.231;2.511;2.720;882;4.349;882;1.918;267;2.156;8;882;1.555;2.373;374;47;5.044;2.443;2.601;735;4.309
Zagrebačka;Zagreb;Kloštar Ivanić;6.091;3.023;3.068;1.052;5.039;1.052;1.976;412;2.651;-;1.052;2.049;2.622;366;2;5.523;2.721;2.802;807;4.716
Zagrebačka;Zagreb;Krašić;2.640;1.272;1.368;340;2.300;340;888;133;1.279;-;340;1.213;962;124;1;2.250;1.092;1.158;238;2.012
Zagrebačka;Zagreb;Kravarsko;1.987;994;993;335;1.652;335;653;82;917;-;335;733;813;106;-;1.824;924;900;267;1.557
Zagrebačka;Zagreb;Križ;6.963;3.316;3.647;1.015;5.948;1.015;2.217;473;3.258;-;1.015;2.460;2.980;505;3;6.098;2.996;3.102;807;5.291
Zagrebačka;Zagreb;Luka;1.351;656;695;197;1.154;197;462;77;614;1;197;499;592;62;1;1.265;622;643;169;1.096
Zagrebačka;Zagreb;Marija Gorica;2.233;1.105;1.128;318;1.915;318;822;149;944;-;318;619;1.082;211;3;2.094;1.061;1.033;290;1.804
Zagrebačka;Zagreb;Orle;1.975;941;1.034;285;1.690;285;639;127;915;9;285;814;795;70;11;1.765;863;902;261;1.504
Zagrebačka;Zagreb;Pisarovina;3.689;1.797;1.892;589;3.100;589;1.648;99;1.353;-;589;1.596;1.294;210;-;3.484;1.742;1.742;475;3.009
Zagrebačka;Zagreb;Pokupsko;2.224;1.108;1.116;372;1.852;372;604;147;1.101;-;372;1.030;756;65;1;1.926;977;949;212;1.714
Zagrebačka;Zagreb;Preseka;1.448;709;739;229;1.219;229;725;32;462;-;229;798;384;35;2;1.129;574;555;140;989
Zagrebačka;Zagreb;Pušća;2.700;1.320;1.380;467;2.233;467;1.073;168;992;-;467;714;1.244;232;43;2.564;1.258;1.306;389;2.175
Zagrebačka;Zagreb;Rakovec;1.252;588;664;215;1.037;215;569;48;420;-;215;598;384;55;-;1.141;537;604;163;978
Zagrebačka;Zagreb;Rugvica;7.871;3.867;4.004;1.391;6.480;1.391;2.896;636;2.945;3;1.391;2.483;3.572;363;62;7.133;3.486;3.647;1.063;6.070
Zagrebačka;Zagreb;Samobor;37.633;18.140;19.493;5.868;31.765;5.868;15.143;1.901;14.715;6;5.868;8.490;17.757;5.495;23;37.435;18.013;19.422;5.572;31.863
Zagrebačka;Zagreb;Stupnik;3.735;1.807;1.928;611;3.124;611;1.498;250;1.376;-;611;832;1.881;382;29;3.886;1.870;2.016;615;3.271
Zagrebačka;Zagreb;Sveta Nedelja;18.059;8.844;9.215;3.106;14.953;3.106;7.424;1.005;6.518;6;3.106;3.788;8.972;2.187;6;18.221;8.947;9.274;2.772;15.449
Zagrebačka;Zagreb;Sveti Ivan Zelina;15.959;7.711;8.248;2.556;13.403;2.556;5.881;833;6.679;10;2.556;5.186;6.998;1.193;26;14.602;7.074;7.528;2.040;12.562
Zagrebačka;Zagreb;Velika Gorica;63.517;30.694;32.823;10.536;52.981;10.536;25.117;3.665;24.184;15;10.536;13.602;31.090;8.254;35;61.075;29.447;31.628;9.452;51.623
Zagrebačka;Zagreb;Vrbovec;14.797;7.121;7.676;2.451;12.346;2.451;5.212;870;6.257;7;2.451;4.765;6.248;1.266;67;12.981;6.242;6.739;1.902;11.079
Zagrebačka;Zagreb;Zaprešić;25.223;11.995;13.228;4.060;21.163;4.060;10.729;1.481;8.947;6;4.060;4.436;12.583;4.135;9;24.133;11.434;12.699;3.632;20.501
Zagrebačka;Zagreb;Žumberak;883;460;423;64;819;64;231;48;540;-;64;519;271;29;-;609;316;293;32;577
Krapinsko-zagorska;Krapina-Zagorje;Bedekovčina;8.041;3.947;4.094;1.219;6.822;1.219;2.908;475;3.438;1;1.219;2.769;3.452;601;-;7.340;3.602;3.738;1.050;6.290
Krapinsko-zagorska;Krapina-Zagorje;Budinščina;2.503;1.253;1.250;418;2.085;418;727;130;1.228;-;418;1.091;890;99;5;2.182;1.095;1.087;313;1.869
Krapinsko-zagorska;Krapina-Zagorje;Desinić;2.933;1.453;1.480;371;2.562;371;842;162;1.558;-;371;1.415;1.019;108;20;2.530;1.292;1.238;273;2.257
Krapinsko-zagorska;Krapina-Zagorje;Donja Stubica;5.680;2.811;2.869;955;4.725;955;2.028;313;2.383;1;955;1.812;2.436;476;1;5.326;2.626;2.700;810;4.516
